github.com/3leaps/goneat,https://github.com/3leaps/goneat/blob/HEAD/LICENSE,Apache-2.0
github.com/fsnotify/fsnotify,https://github.com/fsnotify/fsnotify/blob/v1.8.0/LICENSE,BSD-3-Clause
github.com/go-viper/mapstructure/v2,https://github.com/go-viper/mapstructure/blob/v2.2.1/LICENSE,MIT
github.com/pelletier/go-toml/v2,https://github.com/pelletier/go-toml/blob/v2.2.3/LICENSE,MIT
github.com/sagikazarmark/locafero,https://github.com/sagikazarmark/locafero/blob/v0.7.0/LICENSE,MIT
github.com/sourcegraph/conc,https://github.com/sourcegraph/conc/blob/v0.3.0/LICENSE,MIT
github.com/spf13/afero,https://github.com/spf13/afero/blob/v1.12.0/LICENSE.txt,Apache-2.0
github.com/spf13/cast,https://github.com/spf13/cast/blob/v1.7.1/LICENSE,MIT
github.com/spf13/cobra,https://github.com/spf13/cobra/blob/v1.9.1/LICENSE.txt,Apache-2.0
github.com/spf13/pflag,https://github.com/spf13/pflag/blob/v1.0.6/LICENSE,BSD-3-Clause
github.com/spf13/viper,https://github.com/spf13/viper/blob/v1.20.1/LICENSE,MIT
github.com/subosito/gotenv,https://github.com/subosito/gotenv/blob/v1.6.0/LICENSE,MIT
github.com/xeipuuv/gojsonpointer,https://github.com/xeipuuv/gojsonpointer/blob/4e3ac2762d5f/LICENSE-APACHE-2.0.txt,Apache-2.0
github.com/xeipuuv/gojsonreference,https://github.com/xeipuuv/gojsonreference/blob/bd5ef7bd5415/LICENSE-APACHE-2.0.txt,Apache-2.0
github.com/xeipuuv/gojsonschema,https://github.com/xeipuuv/gojsonschema/blob/v1.2.0/LICENSE-APACHE-2.0.txt,Apache-2.0
golang.org/x/sys/unix,https://cs.opensource.google/go/x/sys/+/v0.29.0:LICENSE,BSD-3-Clause
golang.org/x/text,https://cs.opensource.google/go/x/text/+/v0.21.0:LICENSE,BSD-3-Clause
gopkg.in/yaml.v3,https://github.com/go-yaml/yaml/blob/v3.0.1/LICENSE,MIT
